year,sop,sos,tr,cop,cos,bcie,tcae,ifoi,gaae,rade,glod,efo,oi,iade,ebit,ite,ne,beps,deps
2021-01-01,51386,10900,62286,49954,9283,-32,59269,210,4157,2249,277,-2902,551,2682,-5033,743,-4202,-7.15,-7.15
2020-01-01,47142,11016,58158,54568,9232,-43,63843,9,4817,2476,202,-12767,447,2156,-14476,2536,-11873,-20.88,-20.88
2019-01-01,66094,10465,76559,62877,9154,-62,72093,-4,3909,3219,691,-1975,438,722,-2259,1623,-636,-1.12,-1.12
2018-01-01,90229,10898,101127,72922,8499,-69,81490,111,4567,3269,75,11987,92,475,11507,1144,10460,18.05,17.85
2017-01-01,83740,10265,94005,68879,7663,-70,76612,204,4095,3719,21,10344,123,360,10107,1649,8459,14.03,13.85
2016-01-01,83198,10298,93496,71013,7954,59,79026,303,3613,4626,-7,6527,-438,306,5783,749,5034,7.92,7.83
2015-01-01,85255,10859,96114,73446,8578,64,82088,274,3525,3331,-1,7443,-13,275,7155,1979,5176,7.52,7.44
2014-01-01,80688,10074,90762,68551,8132,69,76752,287,3767,3047,-10,7473,-3,333,7137,1691,5446,7.47,7.38
2013-01-01,76792,9831,86623,65640,7553,75,73268,214,3956,3071,20,6562,56,386,6232,1646,4585,6.03,5.96
2012-01-01,71234,10464,81698,60309,8247,109,68665,268,3717,3298,4,6290,62,442,5910,2007,3900,5.15,5.11
2011-01-01,57401,11334,68735,46642,9097,128,55867,278,3408,3918,24,5844,47,498,5393,1382,4018,5.39,5.34
2010-01-01,52586,11720,64306,42194,9489,160,51843,267,3644,4121,6,4971,52,516,4507,1196,3307,4.49,4.45
2009-01-01,57032,11249,68281,47639,8726,175,56540,249,3364,6506,-24,2096,26,-339,1731,396,1312,1.86,1.84
